epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,283.626,0.73488,1.04462,1.06177,0.73442,0.28971,0.51085,0.35362,1.05956,2.55242,1.56129,0.000547837,0.000547837,0.000547837
43,290.111,0.80416,1.09155,1.14105,0.73442,0.28971,0.51085,0.35362,1.05956,2.55242,1.56129,0.000551689,0.000551689,0.000551689
44,296.524,0.81587,1.1405,1.0881,0.73442,0.28971,0.51085,0.35362,1.05956,2.55242,1.56129,0.000555101,0.000555101,0.000555101
45,302.988,0.88332,1.09602,1.03804,0.73442,0.28971,0.51085,0.35362,1.05956,2.55242,1.56129,0.000558073,0.000558073,0.000558073
46,309.621,0.78445,1.04715,1.09146,0.94899,0.29359,0.45564,0.3252,1.06375,2.48265,1.55725,0.000560605,0.000560605,0.000560605
47,316.072,0.69943,1.01749,1.06681,0.94899,0.29359,0.45564,0.3252,1.06375,2.48265,1.55725,0.000562697,0.000562697,0.000562697
48,322.416,0.73382,1.17426,1.09517,0.94899,0.29359,0.45564,0.3252,1.06375,2.48265,1.55725,0.000564349,0.000564349,0.000564349
49,328.931,0.75255,0.98701,1.04136,0.94899,0.29359,0.45564,0.3252,1.06375,2.48265,1.55725,0.000565561,0.000565561,0.000565561
50,335.546,0.82191,1.028,1.05999,0.92033,0.35,0.55278,0.3563,1.07846,2.33255,1.53895,0.000566333,0.000566333,0.000566333
51,342.038,0.77575,1.01747,1.07633,0.92033,0.35,0.55278,0.3563,1.07846,2.33255,1.53895,0.000561055,0.000561055,0.000561055
52,348.516,0.76104,1.07997,1.05188,0.92033,0.35,0.55278,0.3563,1.07846,2.33255,1.53895,0.000550056,0.000550056,0.000550056
53,355.156,0.71597,1.12822,1.05258,0.92033,0.35,0.55278,0.3563,1.07846,2.33255,1.53895,0.000539057,0.000539057,0.000539057
54,361.734,0.70165,0.99724,1.00248,0.78716,0.51667,0.61698,0.40712,1.04709,2.01994,1.4647,0.000528058,0.000528058,0.000528058
55,368.194,0.69566,0.96929,0.98965,0.78716,0.51667,0.61698,0.40712,1.04709,2.01994,1.4647,0.000517059,0.000517059,0.000517059
56,375.745,0.70521,1.03041,1.00084,0.78716,0.51667,0.61698,0.40712,1.04709,2.01994,1.4647,0.00050606,0.00050606,0.00050606
57,382.626,0.72988,0.95863,1.04159,0.78716,0.51667,0.61698,0.40712,1.04709,2.01994,1.4647,0.000495062,0.000495062,0.000495062
58,389.477,0.71154,1.01692,1.06571,0.76468,0.58333,0.67351,0.47993,0.99757,1.84048,1.4051,0.000484063,0.000484063,0.000484063
59,395.813,0.70664,0.93569,0.98827,0.76468,0.58333,0.67351,0.47993,0.99757,1.84048,1.4051,0.000473064,0.000473064,0.000473064
60,402.263,0.69827,0.98005,1.02212,0.76468,0.58333,0.67351,0.47993,0.99757,1.84048,1.4051,0.000462065,0.000462065,0.000462065
61,408.616,0.70033,0.97388,0.98787,0.76468,0.58333,0.67351,0.47993,0.99757,1.84048,1.4051,0.000451066,0.000451066,0.000451066
62,415.086,0.68793,1.03883,1.05975,0.82769,0.60484,0.71906,0.51185,0.96733,1.64869,1.38372,0.000440067,0.000440067,0.000440067
63,421.399,0.60545,0.92423,1.01352,0.82769,0.60484,0.71906,0.51185,0.96733,1.64869,1.38372,0.000429068,0.000429068,0.000429068
64,427.677,0.67823,0.99344,1.01941,0.82769,0.60484,0.71906,0.51185,0.96733,1.64869,1.38372,0.000418069,0.000418069,0.000418069
65,434.398,0.66804,0.93264,1.02276,0.82769,0.60484,0.71906,0.51185,0.96733,1.64869,1.38372,0.00040707,0.00040707,0.00040707
66,440.942,0.63717,0.95199,1.02517,0.84108,0.62123,0.68984,0.50256,0.99035,1.76606,1.35303,0.000396071,0.000396071,0.000396071
67,447.209,0.64133,0.90555,1.05374,0.84108,0.62123,0.68984,0.50256,0.99035,1.76606,1.35303,0.000385073,0.000385073,0.000385073
68,453.499,0.72966,0.90595,1.02935,0.84108,0.62123,0.68984,0.50256,0.99035,1.76606,1.35303,0.000374074,0.000374074,0.000374074
69,460.009,0.7903,0.9541,0.97345,0.84108,0.62123,0.68984,0.50256,0.99035,1.76606,1.35303,0.000363075,0.000363075,0.000363075
70,466.392,0.65505,0.84659,0.98803,0.73949,0.63043,0.68387,0.49732,1.01481,1.79825,1.29758,0.000352076,0.000352076,0.000352076
71,472.712,0.61607,0.83402,1.02435,0.73949,0.63043,0.68387,0.49732,1.01481,1.79825,1.29758,0.000341077,0.000341077,0.000341077
72,479.077,0.6922,0.91199,0.9783,0.73949,0.63043,0.68387,0.49732,1.01481,1.79825,1.29758,0.000330078,0.000330078,0.000330078
73,485.306,0.60661,0.951,1.03946,0.73949,0.63043,0.68387,0.49732,1.01481,1.79825,1.29758,0.000319079,0.000319079,0.000319079
74,491.805,0.6722,0.83952,1.01256,0.8138,0.63122,0.70171,0.49923,1.02875,1.71755,1.27073,0.00030808,0.00030808,0.00030808
75,498.12,0.59398,0.83238,0.95091,0.8138,0.63122,0.70171,0.49923,1.02875,1.71755,1.27073,0.000297081,0.000297081,0.000297081
76,504.543,0.60144,0.81621,0.93341,0.8138,0.63122,0.70171,0.49923,1.02875,1.71755,1.27073,0.000286083,0.000286083,0.000286083
77,510.862,0.63109,0.85072,0.99086,0.8138,0.63122,0.70171,0.49923,1.02875,1.71755,1.27073,0.000275084,0.000275084,0.000275084
78,517.364,0.57565,0.80878,0.93956,0.86694,0.62423,0.75021,0.52201,1.00063,1.5788,1.26946,0.000264085,0.000264085,0.000264085
79,523.707,0.63342,0.8607,0.97812,0.86694,0.62423,0.75021,0.52201,1.00063,1.5788,1.26946,0.000253086,0.000253086,0.000253086
80,529.981,0.65304,0.94213,1.0608,0.86694,0.62423,0.75021,0.52201,1.00063,1.5788,1.26946,0.000242087,0.000242087,0.000242087
81,536.349,0.56468,0.87269,0.98712,0.86694,0.62423,0.75021,0.52201,1.00063,1.5788,1.26946,0.000231088,0.000231088,0.000231088
82,542.781,0.54323,0.76802,0.96838,0.84851,0.6194,0.75435,0.53383,1.00408,1.48948,1.34213,0.000220089,0.000220089,0.000220089
83,549.21,0.63465,0.82731,1.03527,0.84851,0.6194,0.75435,0.53383,1.00408,1.48948,1.34213,0.00020909,0.00020909,0.00020909
84,555.63,0.61159,0.82405,1.01131,0.84851,0.6194,0.75435,0.53383,1.00408,1.48948,1.34213,0.000198091,0.000198091,0.000198091
85,561.942,0.6092,0.77219,0.93739,0.84851,0.6194,0.75435,0.53383,1.00408,1.48948,1.34213,0.000187092,0.000187092,0.000187092
86,568.401,0.58378,0.82005,0.94842,0.8241,0.62412,0.74353,0.53516,0.99645,1.46373,1.37155,0.000176094,0.000176094,0.000176094
87,574.749,0.59683,0.8369,1.00883,0.8241,0.62412,0.74353,0.53516,0.99645,1.46373,1.37155,0.000165095,0.000165095,0.000165095
88,580.976,0.55106,0.81805,0.99119,0.8241,0.62412,0.74353,0.53516,0.99645,1.46373,1.37155,0.000154096,0.000154096,0.000154096
89,587.43,0.64719,0.83334,0.96741,0.8241,0.62412,0.74353,0.53516,0.99645,1.46373,1.37155,0.000143097,0.000143097,0.000143097
90,594.128,0.59473,0.81745,0.96548,0.80872,0.6267,0.74353,0.53321,0.99183,1.45808,1.38628,0.000132098,0.000132098,0.000132098
91,600.329,0.67482,1.23344,1.03915,0.80872,0.6267,0.74353,0.53321,0.99183,1.45808,1.38628,0.000121099,0.000121099,0.000121099
92,606.543,0.66464,1.28792,1.02922,0.80872,0.6267,0.74353,0.53321,0.99183,1.45808,1.38628,0.0001101,0.0001101,0.0001101
93,612.832,0.61978,1.30963,0.93754,0.80872,0.6267,0.74353,0.53321,0.99183,1.45808,1.38628,9.91012e-05,9.91012e-05,9.91012e-05
94,619.071,0.57143,1.15031,0.96043,0.81224,0.63333,0.74936,0.52245,0.94127,1.41433,1.33398,8.81023e-05,8.81023e-05,8.81023e-05
95,625.207,0.557,1.10266,0.9818,0.81224,0.63333,0.74936,0.52245,0.94127,1.41433,1.33398,7.71034e-05,7.71034e-05,7.71034e-05
96,631.405,0.62489,1.27745,0.92362,0.81224,0.63333,0.74936,0.52245,0.94127,1.41433,1.33398,6.61045e-05,6.61045e-05,6.61045e-05
97,637.657,0.61571,1.1317,0.98487,0.81224,0.63333,0.74936,0.52245,0.94127,1.41433,1.33398,5.51056e-05,5.51056e-05,5.51056e-05
98,644.002,0.56959,1.203,0.96446,0.81644,0.6287,0.74846,0.5272,0.92981,1.39046,1.32101,4.41067e-05,4.41067e-05,4.41067e-05
99,650.168,0.52856,1.12596,1.01203,0.81644,0.6287,0.74846,0.5272,0.92981,1.39046,1.32101,3.31078e-05,3.31078e-05,3.31078e-05
100,656.495,0.55133,1.1545,0.97774,0.81644,0.6287,0.74846,0.5272,0.92981,1.39046,1.32101,2.21089e-05,2.21089e-05,2.21089e-05
